Latitud,Longitud,Fecha,HoraUTC,Segundos,Satélites,HDOP,Roll,Pitch,Yaw,Servo1,Servo2,Servo3,Servo4,AltDiff,Presion,Temperatura
4.65,-69.1,2025-06-24,12:34:56,0,8,0.72,6.1,-27.56,245.35,174.4,87.11,2.18,173.28,3.88,1013.25,0

---- Procesamiento: 2025-07-04 12:48:34 ----
4.65,-69.1,2025-06-24,12:34:56,0,8,0.72,6.1,-27.56,245.35,174.4,87.11,2.18,173.28,3.88,1013.25,0
4.73726,-69.1008,2025-06-24,12:34:56,0.1,11,0.77,5.89,27.42,113.41,106.64,135.94,38.6,53.42,4.92,1013.25,0

---- Procesamiento: 2025-07-04 12:48:34 ----
4.65,-69.1,2025-06-24,12:34:56,0,8,0.72,6.1,-27.56,245.35,174.4,87.11,2.18,173.28,3.88,1013.25,0
4.73726,-69.1008,2025-06-24,12:34:56,0.1,11,0.77,5.89,27.42,113.41,106.64,135.94,38.6,53.42,4.92,1013.25,0
4.8245,-69.103,2025-06-24,12:34:56,0.2,11,0.94,11.46,-17.16,97.02,51.33,144.64,83.14,111.52,-1.98,1013.25,0

---- Procesamiento: 2025-07-04 12:48:35 ----
4.65,-69.1,2025-06-24,12:34:56,0,8,0.72,6.1,-27.56,245.35,174.4,87.11,2.18,173.28,3.88,1013.25,0
4.73726,-69.1008,2025-06-24,12:34:56,0.1,11,0.77,5.89,27.42,113.41,106.64,135.94,38.6,53.42,4.92,1013.25,0
4.8245,-69.103,2025-06-24,12:34:56,0.2,11,0.94,11.46,-17.16,97.02,51.33,144.64,83.14,111.52,-1.98,1013.25,0
4.91168,-69.1069,2025-06-24,12:34:56,0.3,8,0.82,25.88,8.49,211.47,158.09,79.51,20.24,103.92,-2.8,1013.25,0

---- Procesamiento: 2025-07-04 12:48:35 ----
4.65,-69.1,2025-06-24,12:34:56,0,8,0.72,6.1,-27.56,245.35,174.4,87.11,2.18,173.28,3.88,1013.25,0
4.73726,-69.1008,2025-06-24,12:34:56,0.1,11,0.77,5.89,27.42,113.41,106.64,135.94,38.6,53.42,4.92,1013.25,0
4.8245,-69.103,2025-06-24,12:34:56,0.2,11,0.94,11.46,-17.16,97.02,51.33,144.64,83.14,111.52,-1.98,1013.25,0
4.91168,-69.1069,2025-06-24,12:34:56,0.3,8,0.82,25.88,8.49,211.47,158.09,79.51,20.24,103.92,-2.8,1013.25,0
4.99878,-69.1122,2025-06-24,12:34:56,0.4,8,2,12.46,14.1,321.86,14.51,111.32,21.56,112.93,4.52,1013.25,0

---- Procesamiento: 2025-07-04 12:48:35 ----
4.65,-69.1,2025-06-24,12:34:56,0,8,0.72,6.1,-27.56,245.35,174.4,87.11,2.18,173.28,3.88,1013.25,0
4.73726,-69.1008,2025-06-24,12:34:56,0.1,11,0.77,5.89,27.42,113.41,106.64,135.94,38.6,53.42,4.92,1013.25,0
4.8245,-69.103,2025-06-24,12:34:56,0.2,11,0.94,11.46,-17.16,97.02,51.33,144.64,83.14,111.52,-1.98,1013.25,0
4.91168,-69.1069,2025-06-24,12:34:56,0.3,8,0.82,25.88,8.49,211.47,158.09,79.51,20.24,103.92,-2.8,1013.25,0
4.99878,-69.1122,2025-06-24,12:34:56,0.4,8,2,12.46,14.1,321.86,14.51,111.32,21.56,112.93,4.52,1013.25,0
5.08578,-69.119,2025-06-24,12:34:56,0.5,12,1.33,-3.62,2.79,85.57,53.64,133.56,145.25,118.96,2.94,1013.25,0

---- Procesamiento: 2025-07-04 12:48:35 ----
4.65,-69.1,2025-06-24,12:34:56,0,8,0.72,6.1,-27.56,245.35,174.4,87.11,2.18,173.28,3.88,1013.25,0
4.73726,-69.1008,2025-06-24,12:34:56,0.1,11,0.77,5.89,27.42,113.41,106.64,135.94,38.6,53.42,4.92,1013.25,0
4.8245,-69.103,2025-06-24,12:34:56,0.2,11,0.94,11.46,-17.16,97.02,51.33,144.64,83.14,111.52,-1.98,1013.25,0
4.91168,-69.1069,2025-06-24,12:34:56,0.3,8,0.82,25.88,8.49,211.47,158.09,79.51,20.24,103.92,-2.8,1013.25,0
4.99878,-69.1122,2025-06-24,12:34:56,0.4,8,2,12.46,14.1,321.86,14.51,111.32,21.56,112.93,4.52,1013.25,0
5.08578,-69.119,2025-06-24,12:34:56,0.5,12,1.33,-3.62,2.79,85.57,53.64,133.56,145.25,118.96,2.94,1013.25,0
5.17264,-69.1274,2025-06-24,12:34:56,0.6,8,0.55,13.13,12.8,160.32,49.45,115.58,27.18,87.84,4.61,1013.25,0

---- Procesamiento: 2025-07-04 12:48:35 ----
4.65,-69.1,2025-06-24,12:34:56,0,8,0.72,6.1,-27.56,245.35,174.4,87.11,2.18,173.28,3.88,1013.25,0
4.73726,-69.1008,2025-06-24,12:34:56,0.1,11,0.77,5.89,27.42,113.41,106.64,135.94,38.6,53.42,4.92,1013.25,0
4.8245,-69.103,2025-06-24,12:34:56,0.2,11,0.94,11.46,-17.16,97.02,51.33,144.64,83.14,111.52,-1.98,1013.25,0
4.91168,-69.1069,2025-06-24,12:34:56,0.3,8,0.82,25.88,8.49,211.47,158.09,79.51,20.24,103.92,-2.8,1013.25,0
4.99878,-69.1122,2025-06-24,12:34:56,0.4,8,2,12.46,14.1,321.86,14.51,111.32,21.56,112.93,4.52,1013.25,0
5.08578,-69.119,2025-06-24,12:34:56,0.5,12,1.33,-3.62,2.79,85.57,53.64,133.56,145.25,118.96,2.94,1013.25,0
5.17264,-69.1274,2025-06-24,12:34:56,0.6,8,0.55,13.13,12.8,160.32,49.45,115.58,27.18,87.84,4.61,1013.25,0
5.25935,-69.1373,2025-06-24,12:34:56,0.7,10,1.53,-19.62,6.81,127.68,139.33,64.22,79.91,103.71,2,1013.25,0

---- Procesamiento: 2025-07-04 12:48:36 ----
5.9441,-69.2704,2025-06-24,12:34:56,1.5,9,1.36,-25.67,-3.52,268,38.5,76.58,152.61,61.62,3.97,1013.25,0

---- Procesamiento: 2025-07-04 12:49:52 ----
5.9441,-69.2704,2025-06-24,12:34:56,1.5,9,1.36,-25.67,-3.52,268,38.5,76.58,152.61,61.62,3.97,1013.25,0
4.65,-69.1,2025-06-24,12:34:56,0,11,1.68,16.12,0.77,190.83,10.79,40.29,30.44,131.22,2.56,1013.25,0

---- Procesamiento: 2025-07-04 12:49:52 ----
5.9441,-69.2704,2025-06-24,12:34:56,1.5,9,1.36,-25.67,-3.52,268,38.5,76.58,152.61,61.62,3.97,1013.25,0
4.65,-69.1,2025-06-24,12:34:56,0,11,1.68,16.12,0.77,190.83,10.79,40.29,30.44,131.22,2.56,1013.25,0
4.73726,-69.1008,2025-06-24,12:34:56,0.1,12,1.13,-18.19,9.93,135.6,53.62,0.68,129.13,68.48,0.59,1013.25,0

---- Procesamiento: 2025-07-04 12:49:52 ----
5.9441,-69.2704,2025-06-24,12:34:56,1.5,9,1.36,-25.67,-3.52,268,38.5,76.58,152.61,61.62,3.97,1013.25,0
4.65,-69.1,2025-06-24,12:34:56,0,11,1.68,16.12,0.77,190.83,10.79,40.29,30.44,131.22,2.56,1013.25,0
4.73726,-69.1008,2025-06-24,12:34:56,0.1,12,1.13,-18.19,9.93,135.6,53.62,0.68,129.13,68.48,0.59,1013.25,0
4.8245,-69.103,2025-06-24,12:34:56,0.2,6,0.64,12.03,14.99,320.69,17.56,132.95,47.05,20.87,-0.1,1013.25,0

---- Procesamiento: 2025-07-04 12:49:53 ----
5.9441,-69.2704,2025-06-24,12:34:56,1.5,9,1.36,-25.67,-3.52,268,38.5,76.58,152.61,61.62,3.97,1013.25,0
4.65,-69.1,2025-06-24,12:34:56,0,11,1.68,16.12,0.77,190.83,10.79,40.29,30.44,131.22,2.56,1013.25,0
4.73726,-69.1008,2025-06-24,12:34:56,0.1,12,1.13,-18.19,9.93,135.6,53.62,0.68,129.13,68.48,0.59,1013.25,0
4.8245,-69.103,2025-06-24,12:34:56,0.2,6,0.64,12.03,14.99,320.69,17.56,132.95,47.05,20.87,-0.1,1013.25,0
4.91168,-69.1069,2025-06-24,12:34:56,0.3,9,1.32,0.3,-29.98,209.51,130.07,17.75,105.82,2.66,1.6,1013.25,0

---- Procesamiento: 2025-07-04 12:49:53 ----
5.9441,-69.2704,2025-06-24,12:34:56,1.5,9,1.36,-25.67,-3.52,268,38.5,76.58,152.61,61.62,3.97,1013.25,0
4.65,-69.1,2025-06-24,12:34:56,0,11,1.68,16.12,0.77,190.83,10.79,40.29,30.44,131.22,2.56,1013.25,0
4.73726,-69.1008,2025-06-24,12:34:56,0.1,12,1.13,-18.19,9.93,135.6,53.62,0.68,129.13,68.48,0.59,1013.25,0
4.8245,-69.103,2025-06-24,12:34:56,0.2,6,0.64,12.03,14.99,320.69,17.56,132.95,47.05,20.87,-0.1,1013.25,0
4.91168,-69.1069,2025-06-24,12:34:56,0.3,9,1.32,0.3,-29.98,209.51,130.07,17.75,105.82,2.66,1.6,1013.25,0
4.99878,-69.1122,2025-06-24,12:34:56,0.4,8,1.45,-15.88,-18.95,85.12,144.32,89.37,112.88,23.52,-2.48,1013.25,0

---- Procesamiento: 2025-07-04 12:49:53 ----
5.9441,-69.2704,2025-06-24,12:34:56,1.5,9,1.36,-25.67,-3.52,268,38.5,76.58,152.61,61.62,3.97,1013.25,0
4.65,-69.1,2025-06-24,12:34:56,0,11,1.68,16.12,0.77,190.83,10.79,40.29,30.44,131.22,2.56,1013.25,0
4.73726,-69.1008,2025-06-24,12:34:56,0.1,12,1.13,-18.19,9.93,135.6,53.62,0.68,129.13,68.48,0.59,1013.25,0
4.8245,-69.103,2025-06-24,12:34:56,0.2,6,0.64,12.03,14.99,320.69,17.56,132.95,47.05,20.87,-0.1,1013.25,0
4.91168,-69.1069,2025-06-24,12:34:56,0.3,9,1.32,0.3,-29.98,209.51,130.07,17.75,105.82,2.66,1.6,1013.25,0
4.99878,-69.1122,2025-06-24,12:34:56,0.4,8,1.45,-15.88,-18.95,85.12,144.32,89.37,112.88,23.52,-2.48,1013.25,0
5.08578,-69.119,2025-06-24,12:34:56,0.5,9,1.09,-17.97,-4.8,109.84,18.41,64.56,90.61,158.56,-0.66,1013.25,0

---- Procesamiento: 2025-07-04 12:49:53 ----
5.9441,-69.2704,2025-06-24,12:34:56,1.5,9,1.36,-25.67,-3.52,268,38.5,76.58,152.61,61.62,3.97,1013.25,0
4.65,-69.1,2025-06-24,12:34:56,0,11,1.68,16.12,0.77,190.83,10.79,40.29,30.44,131.22,2.56,1013.25,0
4.73726,-69.1008,2025-06-24,12:34:56,0.1,12,1.13,-18.19,9.93,135.6,53.62,0.68,129.13,68.48,0.59,1013.25,0
4.8245,-69.103,2025-06-24,12:34:56,0.2,6,0.64,12.03,14.99,320.69,17.56,132.95,47.05,20.87,-0.1,1013.25,0
4.91168,-69.1069,2025-06-24,12:34:56,0.3,9,1.32,0.3,-29.98,209.51,130.07,17.75,105.82,2.66,1.6,1013.25,0
4.99878,-69.1122,2025-06-24,12:34:56,0.4,8,1.45,-15.88,-18.95,85.12,144.32,89.37,112.88,23.52,-2.48,1013.25,0
5.08578,-69.119,2025-06-24,12:34:56,0.5,9,1.09,-17.97,-4.8,109.84,18.41,64.56,90.61,158.56,-0.66,1013.25,0
5.17264,-69.1274,2025-06-24,12:34:56,0.6,10,1.49,20.09,-7.51,346.37,5.57,170.55,98.23,22.7,-4.08,1013.25,0

---- Procesamiento: 2025-07-04 12:49:53 ----
5.9441,-69.2704,2025-06-24,12:34:56,1.5,9,1.36,-25.67,-3.52,268,38.5,76.58,152.61,61.62,3.97,1013.25,0
4.65,-69.1,2025-06-24,12:34:56,0,11,1.68,16.12,0.77,190.83,10.79,40.29,30.44,131.22,2.56,1013.25,0
4.73726,-69.1008,2025-06-24,12:34:56,0.1,12,1.13,-18.19,9.93,135.6,53.62,0.68,129.13,68.48,0.59,1013.25,0
