# Procesamiento: 2025-05-16 21:02:50
timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.01,0.12,-0.03,9.78,0.01,0,0.02
0.02,0.15,-0.04,9.81,0.02,0.01,0.03
0.03,0.13,-0.02,9.8,0.01,0.01,0.02
0.04,0.14,-0.03,9.79,0.01,0.01,0.01
0.05,0.16,-0.05,9.82,0.03,0.01,0.02
0.06,0.12,-0.02,9.77,0.02,0.01,0.03
0.07,0.13,-0.03,9.76,0.01,0.02,0.01
0.08,0.11,-0.02,9.74,0.01,0.01,0
0.09,0.14,-0.03,9.73,0.01,0.01,0.01
0.11,0.12,-0.04,9.81,0.01,0,0.02
0.12,0.13,-0.02,9.79,0.01,0.01,0.01
0.13,0.15,-0.03,9.78,0.01,0.01,0.02
0.14,0.12,-0.02,9.76,0.02,0.01,0.03
0.15,0.13,-0.01,9.8,0.01,0,0.02
0.16,0.14,-0.03,9.79,0.01,0.01,0.01
0.17,0.15,-0.04,9.78,0.01,0.01,0.03
0.18,0.12,-0.03,9.77,0.02,0,0.01
0.19,0.13,-0.02,9.75,0.01,0.01,0.02
0.2,0.15,-0.04,9.74,0.02,0.01,0.01
0.21,0.14,-0.05,9.73,0.02,0.01,0.02
0.22,0.13,-0.02,9.72,0.02,0,0.01
0.23,0.12,-0.01,9.71,0.01,0.01,0.03
0.24,0.13,-0.02,9.7,0.01,0,0.01
0.25,0.14,-0.03,9.69,0.01,0.01,0.02
0.26,0.12,-0.02,9.68,0.01,0.01,0.01
0.27,0.13,-0.04,9.67,0.01,0,0.02
0.28,0.15,-0.03,9.66,0.01,0.01,0.03
0.29,0.13,-0.02,9.65,0.01,0.01,0.01
0.3,0.12,-0.02,9.64,0.01,0,0.02
0.31,0.13,-0.03,9.63,0.01,0.01,0.01
0.32,0.12,-0.03,9.62,0.01,0,0.02
0.33,0.14,-0.02,9.61,0.01,0.01,0.01
0.34,0.13,-0.04,9.6,0.02,0.01,0.01
0.35,0.14,-0.03,9.59,0.01,0,0.02
0.36,0.13,-0.03,9.58,0.01,0.01,0.01
0.37,0.12,-0.02,9.57,0.01,0,0.03
0.38,0.13,-0.01,9.56,0.01,0.01,0.01
0.39,0.14,-0.02,9.55,0.01,0.01,0.02
0.4,0.12,-0.03,9.54,0.02,0,0.01
0.41,0.13,-0.04,9.53,0.01,0.01,0.02
0.42,0.15,-0.02,9.52,0.01,0,0.01
0.43,0.14,-0.03,9.51,0.01,0.01,0.02
0.44,0.13,-0.02,9.5,0.01,0.01,0.01
0.45,0.12,-0.03,9.49,0.01,0,0.02
0.46,0.13,-0.01,9.48,0.01,0.01,0.01
0.47,0.14,-0.03,9.47,0.02,0.01,0.02
0.48,0.12,-0.02,9.46,0.01,0.01,0.03
0.49,0.13,-0.02,9.45,0.01,0.01,0.01
0.5,0.15,-0.04,9.44,0.02,0,0.02
0.51,0.13,-0.03,9.43,0.01,0.01,0.02
0.52,0.12,-0.02,9.42,0.01,0,0.01
0.53,0.13,-0.03,9.41,0.01,0.01,0.03
0.54,0.14,-0.02,9.4,0.01,0,0.02
0.55,0.13,-0.04,9.39,0.01,0.01,0.01
0.56,0.12,-0.03,9.38,0.01,0,0.02
0.57,0.13,-0.01,9.37,0.01,0.01,0.01
0.58,0.14,-0.02,9.36,0.01,0.01,0.02
0.59,0.12,-0.03,9.35,0.01,0,0.01
0.6,0.13,-0.04,9.34,0.02,0.01,0.02
0.61,0.15,-0.03,9.33,0.01,0.01,0.01
0.62,0.13,-0.02,9.32,0.01,0.01,0.02
0.63,0.12,-0.02,9.31,0.01,0,0.01
0.64,0.13,-0.03,9.3,0.01,0.01,0.02
0.65,0.14,-0.02,9.29,0.01,0.01,0.01
0.66,0.13,-0.04,9.28,0.01,0.01,0.02
